,0,1,2,3,4,5,6,7,8
Title,Protein Southwest Scramble,,,,,,,,
Image URL,https://images.eatthismuch.com/img/254564_tabitharwheeler_315a8e95-7d41-442e-876d-22943048f295.jpg,,,,,,,,
Time Taken,5 mins to prep 10 mins to cook,,,,,,,,
Statistics,Calories 335 Carbs 25g Fat 16g Protein 24g Fiber 6g Net carbs 19g Sodium 846mg Cholesterol 50mg,,,,,,,,
Detailed Nutrition,Detailed Nutrition Info: Fiber: 5.6g 23%  Sodium: 845.8mg 36%  Potassium: 1096.7mg 24%  Cholesterol: 50.4mg N/A  Sugars Sugar: 12.9g N/A  Sucrose: 1.2g N/A  Glucose: 5.7g N/A  Fructose: 4.9g N/A  Lactose: 0.1g N/A  Maltose: 0.1g N/A  Galactose: 0.2g N/A  Starch: 0g N/A  Fats Saturated fats: 3.4g N/A  Monounsaturated fats: 9.6g N/A  Polyunsaturated fats: 1.5g N/A  Trans fats: 0g N/A  Fatty Acids Total omega 3: 0g N/A  Total omega 6: 0g N/A  ALA: 0g N/A  DHA: 0g N/A  EPA: 0g N/A  DPA: 0g N/A  Vitamins and Minerals Caffeine: 0mg N/A  Theobromine: 0mg N/A  Calcium: 124.4mg 13%  Choline: 26.4mg 5%  Copper: 0.3mg 14%  Fluoride: 4.1μg N/A  Folate (B9): 139.6μg 35%  Iron: 3.9mg 49%  Lycopene: 3164.8μg N/A  Magnesium: 77.8mg 23%  Manganese: 0.7mg 34%  Niacin: 2.7mg 14%  Phosphorus: 170.9mg 18%  Retinol: 0μg N/A  Riboflavin (B2): 0.8mg 46%  Selenium: 35.8μg 52%  Thiamine: 0.2mg 14%  Alpha carotene: 139.1μg N/A  Beta carotene: 3451.3μg N/A  Pantothenic acid: 0.9mg N/A  Vit A: 309.4μg 35%  Vit A IU: 6173IU N/A  Vit B6: 0.6mg 49%  Vit B12: 0.8μg 33%  Vit C: 128.5mg 215%  Vit D: 0μg 0%  Vit D IU: 0IU N/A  Vit D2: 0μg N/A  Vit D3: 0μg N/A  Vit E: 3.8mg 20%  Vit K: 164.3μg 137%  Zinc: 2mg 14%  Amino Acids Tryptophan: 0.2g N/A  Threonine: 1g N/A  Isoleucine: 1.2g N/A  Leucine: 2g N/A  Lysine: 1.7g N/A  Methionine: 0.7g N/A  Cystine: 0.4g N/A  Phenylalanine: 1.3g N/A  Tyrosine: 0.9g N/A  Valine: 1.4g N/A  Arginine: 1.4g N/A  Histidine: 0.5g N/A  Alanine: 1.4g N/A  Aspartic acid: 2.7g N/A  Glutamic acid: 3.9g N/A  Glycine: 1g N/A  Proline: 0.9g N/A  Serine: 1.5g N/A  Hydroxyproline: 0g N/A,,,,,,,,
Main Ingredients,Egg white,Sausage,Olive oil,Onions,Red bell pepper,Spinach,Tomatoes,Salt,Pepper
Sub Ingredients,"Raw, fresh eggs","Beef, pork, chicken, skinless, smoked",Salad or cooking,Raw,"Sweet, raw",Raw,"Red, ripe, raw, year round average",Table,"Spices, black"
Quantity,4 large,1/2 link,2 tsp,"1 medium (2-1/2"" dia)","1/2 cup, chopped",1 cup,"1 medium whole (2-3/5"" dia)",1 dash,1 dash
Amount,132 grams,42 grams,9 grams,110 grams,74.5 grams,30 grams,123 grams,0.40 grams,0.10 grams
Additional Information,Calories 68.6 Carbs 1g Fat 0.2g Protein 14.4g Est. Price $0.51,Calories 68.6 Carbs 1g Fat 0.2g Protein 14.4g Est. Price $0.51,Calories 90.7 Carbs 3.4g Fat 6g Protein 5.7g Est. Price $0.23,Calories 79.6 Carbs 0g Fat 9g Protein 0g Est. Price $0.14,Calories 44 Carbs 10.3g Fat 0.1g Protein 1.2g Est. Price $0.17,Calories 23.1 Carbs 4.5g Fat 0.2g Protein 0.7g Est. Price $0.13,Calories 6.9 Carbs 1.1g Fat 0.1g Protein 0.9g Est. Price $0.18,Calories 22.1 Carbs 4.8g Fat 0.2g Protein 1.1g Est. Price $0.51,Calories 0 Carbs 0g Fat 0g Protein 0g Est. Price $0.00
Recipe Steps,"Step 1 PREP: Dice the tomato, chop the red pepper, onion, and turkey sausage. Step 2 In a large pan, drizzle onions and peppers with olive oil and saute. Step 3 When the onions are clear and peppers are tender, season with salt and pepper. Step 4 Add chopped turkey sausage, and saute until sausage is golden brown. Step 5 Lower heat, add egg whites, and scramble. Step 6 When eggs are almost done, add in tomato and spinach, mix around, and then serve. If your diet allows it, enjoy with a piece of whole grain toast for a complete and nutritious meal! (source: bodybuilding.com)",,,,,,,,
